user,timestamp,surah,verse
13901,1443416485,7,177
13901,1443419593,7,185
13901,1443432668,7,203
13901,1443432703,7,206
13901,1443432762,7,2
13901,1443434264,7,8
13901,1443434292,7,11
13901,1443440241,7,12
13901,1443440363,7,19
13901,1443449930,7,26
13901,1443453564,7,30
13901,1443453876,7,31
13901,1443455622,7,32
13901,1443461808,7,33
13901,1443467107,7,37
13901,1443493710,7,38
13901,1443504837,7,43
13901,1443529633,7,44
13901,1443530650,7,48
13901,1443530662,7,49
13901,1443588131,7,54
13901,1443603459,7,57
13901,1443603495,7,59
13901,1443603801,7,63
13901,1443603861,7,65
13901,1443610944,7,69
13901,1443620300,7,74
13901,1443641690,7,79
13901,1443641723,7,80
13901,1443642654,7,81
13901,1443642680,7,85
13901,1443642699,7,86
13901,1443672400,7,92
13901,1443673243,7,93
13901,1443673759,7,94
13901,1443676070,7,101
13901,1443676134,7,107
13901,1443676161,7,113
13901,1443676204,7,123
13901,1443686084,7,124
13901,1443702415,7,127
13901,1443702623,7,128
13901,1443706455,7,129
13901,1443712877,7,134
13901,1443713288,7,135
13901,1443715638,7,138
13901,1443716456,7,139
13901,1443716473,7,141
13901,1443723451,7,145
13901,1443757221,7,150
13901,1443757693,7,155
13901,1443759346,7,156
13901,1443759495,7,157
13901,1443761941,7,160
13901,1443768172,7,161
13901,1443775472,7,165
13901,1443776020,7,167
13901,1443776090,7,171
13901,1443777503,7,172
13901,1443782963,7,173
13901,1443783047,7,174
13901,1443783062,7,176
13901,1443783092,7,178
13901,1443786926,7,187
13901,1443790502,7,188
13901,1443790743,7,192
13901,1443790757,7,194
13901,1443790767,7,195
13901,1443790796,7,196
13901,1443790802,7,198
13901,1443790832,7,201
13901,1443805890,8,2
13901,1443806189,8,5
13901,1443813074,8,10
13901,1443813353,8,11
13901,1443840182,8,12
13901,1443847651,8,17
13901,1443848284,8,22
13901,1443861638,8,23
13901,1443861740,8,27
13901,1443864656,8,29
13901,1443864832,8,41
13901,1443864859,8,42
13901,1443874490,8,43
13901,1443883386,8,44
13901,1443886994,8,52
13901,1443887328,8,53
13901,1443888735,8,54
13901,1443889315,8,60
13901,1443899409,8,66
13901,1443899627,8,67
13901,1443899998,8,70
13901,1443936765,9,2
13901,1443940422,9,3
13901,1443944111,9,4
13901,1443945033,9,5
13901,1443989655,9,6
13901,1444010967,9,7
13901,1444011398,9,13
13901,1444018936,9,20
13901,1444018970,9,24
13901,1444029542,9,25
13901,1444029609,9,28
13901,1444029624,9,29
13901,1444029644,9,30
13901,1444030349,9,35
13901,1444030411,9,36
13901,1444031308,9,37
13901,1444031403,9,38
13901,1444031632,9,39
13901,1444031936,9,40
13901,1444032025,9,44
13901,1444032038,9,45
13901,1444032144,9,46
13901,1444034370,9,55
13901,1444034373,9,56
13901,1444045118,9,57
13901,1444047253,9,58
13901,1444049519,9,59
13901,1444054699,9,60
13901,1444058693,9,61
13901,1444072576,9,62
13901,1444072654,9,66
13901,1444072695,9,68
13901,1444072846,9,71
13901,1444101027,9,72
13901,1444103408,9,77
13901,1444110224,9,78
13901,1444114392,9,80
13901,1444121830,9,85
13901,1444122905,9,86
13901,1444123962,9,94
13901,1444137582,9,95
13901,1444137775,9,98
13901,1444138104,9,99
13901,1444138188,9,100
13901,1444138781,9,101
13901,1444139832,9,107
13901,1444162013,9,112
13901,1444187769,9,113
13901,1444190479,9,124
13901,1444191770,9,128
13901,1444192124,10,1
13901,1444197894,10,11
13901,1444231159,10,18
13901,1444231177,10,19
13901,1444232968,10,20
13901,1444244556,10,21
13901,1444272622,10,24
13901,1444272732,10,26
13901,1444285850,10,27
13901,1444293360,10,34
13901,1444300784,10,37
13901,1444304164,10,40
13901,1444319576,10,45
13901,1444320106,10,46
13901,1444334482,10,52
13901,1444363800,10,59
13901,1444385973,10,65
13901,1444409799,10,66
13901,1444409888,10,72
13901,1444457775,10,78
13901,1444457797,10,80
13901,1444465047,10,81
13901,1444465102,10,87
13901,1444465140,10,88
